beryllium, animal brooch, seductress, tall, narrow hips, triangular face, fair skin, dark brown hair, coral eyes, long nose, thick lips, round chin, long hair, thick hair, formal braided updo, round breasts, hoop earrings, silver, velvet lipstick, purple velvet bra and panty set with lace trim
osmium, collar necklace, lady, tall, toned, oval face, tan skin, golden blonde hair, silver eyes, straight nose, full lips, round chin, shoulder-length hair, wavy hair, side-swept bangs, small breasts, dangle earrings, teal, velvet lipstick, ivory lace teddy
osmium, cuff bracelet, baroness, short, athletic, oval face, dark skin, brunette hair, amber eyes, straight nose, pouty lips, prominent chin, long hair, coarse hair, herringbone braid, saggy breasts, stud earrings, burgundy, velvet lipstick, yellow lace halter bralette and thong set
osmium, flower brooch, femme fatale, short, wide hips, round face, olive skin, black hair, sapphire eyes, straight nose, thick lips, sharp chin, shoulder-length hair, straight hair, bangs with highlights, augmented breasts, stud earrings, coral, gloss lipstick, turquoise sheer chemise with cutouts
osmium, flower brooch, gal, short, athletic, square face, dark skin, red hair, red eyes, [[curved nose]], pouty lips, prominent chin, shoulder-length hair, coarse hair, curly afro, large breasts, huggie earrings, rust, matte lipstick, black cutout bodysuit with zipper
osmium, flower brooch, heiress, average height, athletic, square face, tan skin, red hair, aquamarine eyes, [[curved nose]], thin lips, receding chin, long hair, wavy hair, sleek waves, natural breasts, hoop earrings, cream, sheer lipstick, silver silk bra and panty set with garter belt
osmium, flower brooch, starlet, short, slim, oval face, fair skin, chestnut hair, yellow eyes, short nose, full lips, round chin, long hair, fine hair, angled bob, perky breasts, drop earrings, cream, cream lipstick, crimson velvet cami and short set
osmium, flower brooch, vixen, average height, toned, square face, dark skin, brunette hair, teal eyes, short nose, full lips, prominent chin, long hair, curly hair, layered bob, augmented breasts, faux gauge earrings, berry, cream lipstick, crimson velvet cami and short set
osmium, friendship bracelet, sensation, average height, toned, round face, fair skin, honey blonde hair, coral eyes, narrow nose, pouty lips, prominent chin, long hair, curly hair, half up half down, small breasts, cuff earrings, burgundy, satin lipstick, fuchsia mesh halter bra and panty set
osmium, friendship bracelet, temptress, average height, in shape, diamond-shaped face, fair skin, platinum blonde hair, green eyes, straight nose, thin lips, receding chin, shoulder-length hair, curly hair, sleek bun, round breasts, cuff earrings, green, metallic lipstick, pink lace garter slip with matching thong
osmium, multi-strand necklace, female warrior, short, lean, oval face, olive skin, brunette hair, grey-blue eyes, wide nose, pouty lips, prominent chin, shoulder-length hair, coarse hair, voluminous waves, small breasts, hoop earrings, black, stain lipstick, purple velvet robe with fur trim
osmium, necklace, starlet, tall, slim, heart-shaped face, olive skin, blonde hair, dark brown eyes, short nose, thick lips, round chin, long hair, curly hair, top knot, large breasts, stud earrings, golden, satin lipstick, black cutout bodysuit with zipper
osmium, pearl necklace, babe, short, thin, square face, tan skin, gray hair, blue eyes, short nose, thin lips, prominent chin, shoulder-length hair, thick hair, messy top knot, augmented breasts, faux gauge earrings, rose, gloss lipstick, black sheer teddy with floral applique
osmium, pearl necklace, dame, average height, narrow hips, diamond-shaped face, dark skin, gray hair, blue eyes, straight nose, pouty lips, round chin, long hair, wavy hair, high chignon, saggy breasts, cuff earrings, pink, satin lipstick, red lace bra and panty set with garter belt
osmium, pearl necklace, empress, short, firm, round face, olive skin, gray hair, turquoise eyes, short nose, full lips, sharp chin, shoulder-length hair, fine hair, voluminous waves, saggy breasts, faux gauge earrings, burgundy, sheer lipstick, navy blue satin garter belt with suspenders
osmium, pearl necklace, maven, tall, narrow hips, heart-shaped face, olive skin, chestnut hair, blue eyes, long nose, pouty lips, prominent chin, shoulder-length hair, curly hair, rope braid, perky breasts, stud earrings, violet, stain lipstick, black lace bustier
osmium, pearl necklace, miss, average height, lean, square face, fair skin, light brown hair, coral eyes, narrow nose, pouty lips, round chin, shoulder-length hair, wavy hair, fringed bangs, firm breasts, hoop earrings, mauve, velvet lipstick, purple velvet slip with lace trim
osmium, pearl necklace, woman, average height, slim, triangular face, tan skin, chestnut hair, ice blue eyes, short nose, full lips, prominent chin, shoulder-length hair, fine hair, braided crown, asymmetrical breasts, clip-on earrings, light pink, gloss lipstick, green satin robe with lace trim
osmium, pendant, songstress, average height, skinny, heart-shaped face, dark skin, strawberry blonde hair, brown eyes with green flecks, long nose, pouty lips, prominent chin, shoulder-length hair, coarse hair, shoulder-length curls, asymmetrical breasts, dangle earrings, fuchsia, cream lipstick, pink lace garter slip with matching thong
osmium, statement necklace, enchantress, average height, in shape, triangular face, dark skin, red hair, green eyes, long nose, thick lips, sharp chin, shoulder-length hair, wavy hair, donut bun, natural breasts, drop earrings, silver, matte lipstick, red satin babydoll
osmium, tassel necklace, female viking, tall, thin, square face, fair skin, dark brown hair, peach eyes, [[curved nose]], thin lips, round chin, long hair, curly hair, curly afro, full breasts, drop earrings, beige, stain lipstick, black leather bralette and panty set
osmium, tassel necklace, lady, average height, thin, square face, fair skin, white hair, amber eyes, straight nose, thin lips, receding chin, shoulder-length hair, wavy hair, smooth waves, large breasts, clip-on earrings, silver, matte lipstick, plum satin and lace bustier
osmium, tennis bracelet, goddess, short, in shape, diamond-shaped face, tan skin, golden blonde hair, green eyes, short nose, thin lips, prominent chin, shoulder-length hair, curly hair, long curly hair, saggy breasts, threader earrings, nude, gloss lipstick, purple velvet bra and panty set with lace trim
osmium, tennis bracelet, sensation, short, lean, heart-shaped face, tan skin, white hair, silver eyes, wide nose, full lips, prominent chin, shoulder-length hair, coarse hair, fishbone braid, asymmetrical breasts, faux gauge earrings, coral, stain lipstick, purple mesh babydoll with matching g-string
osmium, tennis necklace, artist, tall, thin, triangular face, tan skin, white hair, ice blue eyes, straight nose, full lips, sharp chin, shoulder-length hair, straight hair, straight bob with layers, perky breasts, cuff earrings, golden, satin lipstick, pink lace chemise with ruffle details
osmium, tennis necklace, chanteuse, short, toned, heart-shaped face, olive skin, auburn hair, gold eyes, wide nose, thick lips, prominent chin, long hair, straight hair, braided crown, perky breasts, clip-on earrings, soft pink, satin lipstick, black lace bustier
osmium, toe ring, baroness, tall, fit, square face, tan skin, red hair, grey-blue eyes, [[curved nose]], thin lips, receding chin, shoulder-length hair, thick hair, four-strand braid, round breasts, drop earrings, soft pink, matte lipstick, ivory lace teddy
osmium, toe ring, maven, tall, skinny, triangular face, dark skin, light brown hair, silver eyes, narrow nose, thick lips, receding chin, long hair, coarse hair, middle part bangs, round breasts, drop earrings, orange, satin lipstick, blue strappy bodysuit with cutouts
osmium, toe ring, sensation, short, toned, heart-shaped face, fair skin, black hair, gold eyes, long nose, pouty lips, receding chin, shoulder-length hair, straight hair, half up half down, perky breasts, cuff earrings, cream, satin lipstick, plum satin and lace bustier
osmium, toe ring, songstress, average height, firm, round face, tan skin, blonde hair, yellow eyes, narrow nose, thin lips, sharp chin, long hair, curly hair, low ponytail, asymmetrical breasts, hoop earrings, red, sheer lipstick, pink floral corset
osmium, toggle bracelet, mistress, short, slim, triangular face, tan skin, honey blonde hair, brown eyes with green flecks, short nose, pouty lips, prominent chin, shoulder-length hair, coarse hair, fluffy afro, saggy breasts, drop earrings, rust, cream lipstick, yellow lace garter belt
osmium, toggle bracelet, vixen, average height, fit, square face, dark skin, chestnut hair, teal eyes, short nose, thick lips, round chin, long hair, straight hair, fringed bangs, saggy breasts, faux gauge earrings, gloss, gloss lipstick, blue sheer babydoll with satin trim
osmium, vintage brooch, femme fatale, short, narrow hips, diamond-shaped face, olive skin, black hair, brown eyes, wide nose, thin lips, sharp chin, shoulder-length hair, straight hair, fringed bangs, round breasts, faux gauge earrings, rose, metallic lipstick, purple mesh babydoll with matching g-string
osmium, vintage brooch, goddess, average height, toned, diamond-shaped face, fair skin, blonde hair, silver eyes, short nose, pouty lips, receding chin, shoulder-length hair, curly hair, french roll, saggy breasts, huggie earrings, terracotta, stain lipstick, white satin and lace bra and panty set
osmium, vintage brooch, vixen, short, slim, round face, dark skin, honey blonde hair, grey-blue eyes, narrow nose, full lips, sharp chin, shoulder-length hair, straight hair, top knot, full breasts, clip-on earrings, cream, gloss lipstick, purple mesh babydoll with matching g-string
osmium, watch bracelet, female viking, short, wide hips, diamond-shaped face, olive skin, dark brown hair, blue eyes, wide nose, pouty lips, receding chin, long hair, thick hair, side bangs, full breasts, dangle earrings, teal, satin lipstick, gold mesh bra and panty set with garter belt
palladium, animal brooch, songstress, average height, athletic, round face, tan skin, auburn hair, purple eyes, straight nose, thin lips, round chin, shoulder-length hair, coarse hair, formal braided updo, small breasts, dangle earrings, burgundy, stain lipstick, tan faux leather slip dress
palladium, ankle bracelet, empress, average height, athletic, oval face, dark skin, strawberry blonde hair, jade eyes, [[curved nose]], thin lips, receding chin, shoulder-length hair, fine hair, lace braid, small breasts, stud earrings, silver, matte lipstick, black mesh bodysuit with embroidered flowers
palladium, ankle bracelet, enigma, short, fit, oval face, dark skin, red hair, grey-blue eyes, [[curved nose]], thin lips, receding chin, long hair, fine hair, high messy bun, asymmetrical breasts, threader earrings, nude, sheer lipstick, black sheer teddy with floral applique
palladium, ankle bracelet, goddess, short, slim, round face, olive skin, honey blonde hair, red eyes, wide nose, thick lips, sharp chin, shoulder-length hair, wavy hair, four-strand braid, large breasts, stud earrings, mauve, stain lipstick, yellow lace halter bralette and thong set
palladium, ankle bracelet, luminary, short, in shape, triangular face, olive skin, auburn hair, hazel eyes with green flecks, [[curved nose]], full lips, prominent chin, shoulder-length hair, straight hair, braided headband, round breasts, clip-on earrings, hot pink, velvet lipstick, black sheer teddy with floral applique
palladium, ankle bracelet, seductress, tall, skinny, diamond-shaped face, dark skin, golden blonde hair, black eyes, [[curved nose]], pouty lips, sharp chin, long hair, fine hair, braided headband, natural breasts, stud earrings, cream, sheer lipstick, black mesh bodysuit with embroidered flowers
palladium, ankle bracelet, temptress, short, fit, triangular face, tan skin, honey blonde hair, hazel eyes, [[curved nose]], pouty lips, sharp chin, shoulder-length hair, coarse hair, french twist, soft breasts, drop earrings, cream, velvet lipstick, pink lace garter slip with matching thong
palladium, ankle strap, dame, tall, slim, diamond-shaped face, fair skin, auburn hair, hazel eyes, wide nose, thick lips, sharp chin, long hair, fine hair, fishbone braid, saggy breasts, stud earrings, cherry, gloss lipstick, red mesh chemise with strappy back detail
palladium, ankle strap, female viking, short, narrow hips, round face, olive skin, red hair, blue eyes with green flecks, short nose, thick lips, sharp chin, shoulder-length hair, curly hair, curly afro, large breasts, cuff earrings, orange, satin lipstick, red satin babydoll
palladium, ankle strap, sensation, tall, toned, heart-shaped face, olive skin, light brown hair, hazel eyes, [[curved nose]], thin lips, round chin, long hair, straight hair, french braid, firm breasts, stud earrings, orange, gloss lipstick, maroon satin and lace corset
palladium, anklet, superwoman, tall, in shape, triangular face, olive skin, honey blonde hair, turquoise eyes, wide nose, thick lips, sharp chin, long hair, fine hair, braided crown, large breasts, faux gauge earrings, terracotta, matte lipstick, green satin and lace garter belt with matching thong
palladium, bangle bracelet, empress, average height, wide hips, heart-shaped face, tan skin, chestnut hair, peach eyes, wide nose, thick lips, prominent chin, long hair, curly hair, double braided crown, asymmetrical breasts, drop earrings, golden, stain lipstick, red lace bra and panty set with garter belt
palladium, bangle bracelet, temptress, short, slim, diamond-shaped face, olive skin, brunette hair, amber eyes, short nose, pouty lips, sharp chin, long hair, coarse hair, fishtail braid, perky breasts, threader earrings, violet, velvet lipstick, orange satin slip
palladium, beaded bracelet, enchantress, average height, firm, round face, olive skin, white hair, hazel eyes, narrow nose, thin lips, prominent chin, long hair, curly hair, chignon, saggy breasts, clip-on earrings, berry, matte lipstick, red mesh chemise with strappy back detail
palladium, beaded necklace, artist, tall, in shape, triangular face, olive skin, honey blonde hair, hazel eyes with green flecks, straight nose, thick lips, sharp chin, long hair, straight hair, wedding updo, full breasts, hoop earrings, berry, satin lipstick, white lace bralette and boyshorts set
palladium, beaded necklace, mistress, short, athletic, round face, dark skin, platinum blonde hair, ice blue eyes, wide nose, pouty lips, round chin, long hair, straight hair, low ponytail, augmented breasts, huggie earrings, mauve, stain lipstick, black mesh bodysuit with embroidered flowers
palladium, beaded necklace, queen, average height, narrow hips, oval face, fair skin, red hair, hazel eyes, [[curved nose]], thick lips, sharp chin, long hair, fine hair, fauxhawk, round breasts, drop earrings, beige, matte lipstick, blue satin and lace cami and short set
palladium, beaded necklace, queen, tall, skinny, oval face, dark skin, red hair, gray eyes, long nose, pouty lips, prominent chin, long hair, straight hair, blunt cut bangs, natural breasts, threader earrings, orange, gloss lipstick, red satin babydoll
palladium, bib necklace, duchess, short, fit, round face, tan skin, brunette hair, dark brown eyes, [[curved nose]], pouty lips, receding chin, shoulder-length hair, thick hair, curly afro, augmented breasts, clip-on earrings, hot pink, velvet lipstick, green satin and lace garter belt with matching thong
palladium, bracelet, woman, average height, athletic, heart-shaped face, dark skin, golden blonde hair, hazel eyes, straight nose, thin lips, round chin, shoulder-length hair, straight hair, herringbone braid, round breasts, drop earrings, violet, metallic lipstick, red mesh chemise with strappy back detail
palladium, bracelet, woman, average height, slim, oval face, fair skin, auburn hair, grey-blue eyes, short nose, thick lips, receding chin, shoulder-length hair, curly hair, bun, soft breasts, threader earrings, coral, metallic lipstick, black cutout bodysuit with zipper
palladium, brooch pin, heiress, average height, toned, heart-shaped face, fair skin, silver hair, silver eyes, short nose, pouty lips, sharp chin, long hair, coarse hair, dutch braid, large breasts, faux gauge earrings, red, cream lipstick, teal velvet chemise with ruffles
palladium, brooch pin, maven, average height, thin, oval face, tan skin, golden blonde hair, sapphire eyes, wide nose, thick lips, sharp chin, shoulder-length hair, coarse hair, messy beach waves, firm breasts, cuff earrings, brown, cream lipstick, purple velvet slip with lace trim
palladium, brooch pin, starlet, tall, wide hips, oval face, tan skin, light brown hair, yellow eyes, straight nose, thin lips, prominent chin, shoulder-length hair, curly hair, curled bob, augmented breasts, faux gauge earrings, shimmer, gloss lipstick, turquoise sheer chemise with cutouts
palladium, brooch, empress, average height, lean, heart-shaped face, olive skin, black hair, hazel eyes with green flecks, narrow nose, thin lips, round chin, shoulder-length hair, curly hair, long curly hair, small breasts, faux gauge earrings, plum, velvet lipstick, black lace bustier
palladium, chain bracelet, miss, average height, fit, round face, dark skin, chestnut hair, ruby eyes, long nose, pouty lips, round chin, shoulder-length hair, fine hair, messy top knot, perky breasts, cuff earrings, coral, sheer lipstick, silver silk bra and panty set with garter belt
palladium, chain necklace, femme fatale, short, lean, round face, tan skin, dark brown hair, blue eyes, wide nose, pouty lips, round chin, long hair, straight hair, straight updo, round breasts, cuff earrings, grape, velvet lipstick, purple velvet bra and panty set with lace trim
palladium, chain necklace, femme fatale, tall, in shape, oval face, fair skin, black hair, ice blue eyes, straight nose, full lips, prominent chin, shoulder-length hair, wavy hair, boho braid, perky breasts, huggie earrings, brown, metallic lipstick, yellow mesh bralette and high-waisted panty set
palladium, charm bracelet, femme fatale, average height, skinny, square face, fair skin, strawberry blonde hair, blue eyes with green flecks, wide nose, thick lips, sharp chin, shoulder-length hair, fine hair, afro, small breasts, dangle earrings, grape, stain lipstick, orange satin slip
palladium, charm bracelet, heiress, short, athletic, oval face, olive skin, white hair, sapphire eyes, [[curved nose]], thin lips, receding chin, shoulder-length hair, coarse hair, straight bob, full breasts, drop earrings, magenta, satin lipstick, black mesh bodysuit with embroidered flowers
palladium, choker, charmer, short, thin, oval face, fair skin, dark brown hair, brown eyes, [[curved nose]], full lips, receding chin, shoulder-length hair, curly hair, low ponytail, saggy breasts, clip-on earrings, terracotta, cream lipstick, black mesh bodysuit with embroidered flowers
palladium, choker, seductress, average height, lean, heart-shaped face, fair skin, light brown hair, silver eyes, narrow nose, pouty lips, prominent chin, long hair, fine hair, ballerina bun, natural breasts, huggie earrings, berry, matte lipstick, silver silk bra and panty set with garter belt
palladium, choker, temptress, average height, in shape, square face, fair skin, black hair, green eyes, straight nose, thick lips, round chin, shoulder-length hair, coarse hair, swept bangs, round breasts, threader earrings, black, metallic lipstick, grey faux leather corset
palladium, choker, temptress, average height, narrow hips, square face, dark skin, chestnut hair, brown eyes, [[curved nose]], thin lips, receding chin, long hair, fine hair, viking braid, asymmetrical breasts, clip-on earrings, red, cream lipstick, fuchsia mesh halter bra and panty set
palladium, choker, woman, average height, athletic, diamond-shaped face, dark skin, honey blonde hair, dark brown eyes, straight nose, pouty lips, round chin, long hair, curly hair, straight bob, small breasts, threader earrings, coral, matte lipstick, lavender lace bra and panty set
palladium, cocktail ring, heiress, average height, slim, square face, tan skin, auburn hair, brown eyes with green flecks, narrow nose, thick lips, sharp chin, long hair, coarse hair, high ponytail, large breasts, threader earrings, cream, cream lipstick, blue sheer babydoll with satin trim
palladium, collar necklace, countess, average height, lean, round face, fair skin, strawberry blonde hair, ruby eyes, long nose, full lips, prominent chin, shoulder-length hair, coarse hair, boho braid, firm breasts, clip-on earrings, black, metallic lipstick, plum satin and lace bustier
palladium, collar necklace, goddess, tall, thin, oval face, dark skin, platinum blonde hair, green eyes, narrow nose, full lips, round chin, long hair, fine hair, four-strand braid, large breasts, faux gauge earrings, berry, gloss lipstick, lavender lace bra and panty set
palladium, cuff bracelet, dame, average height, athletic, round face, olive skin, blonde hair, purple eyes, short nose, thick lips, receding chin, long hair, curly hair, chignon, soft breasts, faux gauge earrings, terracotta, metallic lipstick, red mesh chemise with strappy back detail
palladium, cuff bracelet, duchess, tall, toned, oval face, olive skin, blonde hair, brown eyes, long nose, pouty lips, sharp chin, long hair, thick hair, double braided crown, perky breasts, hoop earrings, grape, satin lipstick, ivory lace teddy
palladium, cuff bracelet, escort, tall, narrow hips, square face, tan skin, red hair, amethyst eyes, long nose, full lips, sharp chin, shoulder-length hair, coarse hair, braided updo, natural breasts, clip-on earrings, teal, matte lipstick, brown strappy bodysuit
palladium, flower brooch, female viking, average height, thin, heart-shaped face, fair skin, blonde hair, coral eyes, long nose, full lips, round chin, shoulder-length hair, coarse hair, viking braid, natural breasts, threader earrings, green, cream lipstick, yellow lace halter bralette and thong set
palladium, flower brooch, female viking, tall, in shape, round face, olive skin, gray hair, coral eyes, wide nose, thin lips, prominent chin, shoulder-length hair, wavy hair, wedding updo, firm breasts, cuff earrings, mauve, stain lipstick, white sheer teddy with lace trim
palladium, friendship bracelet, mistress, short, thin, diamond-shaped face, olive skin, black hair, jade eyes, long nose, pouty lips, receding chin, shoulder-length hair, curly hair, french braid, saggy breasts, threader earrings, cream, sheer lipstick, green satin and lace garter belt with matching thong
palladium, locket necklace, chanteuse, tall, skinny, heart-shaped face, dark skin, black hair, hazel eyes, short nose, thin lips, receding chin, shoulder-length hair, straight hair, bob with bangs, full breasts, dangle earrings, gloss, gloss lipstick, brown strappy bodysuit
palladium, locket necklace, starlet, tall, lean, heart-shaped face, olive skin, silver hair, light blue eyes, long nose, pouty lips, sharp chin, shoulder-length hair, curly hair, messy top knot, augmented breasts, dangle earrings, brown, velvet lipstick, purple velvet bra and panty set with lace trim
palladium, multi-strand necklace, goddess, short, narrow hips, oval face, fair skin, platinum blonde hair, turquoise eyes, straight nose, pouty lips, prominent chin, long hair, coarse hair, low ponytail, small breasts, faux gauge earrings, grape, gloss lipstick, yellow lace halter bralette and thong set
palladium, multi-strand necklace, lady, short, narrow hips, diamond-shaped face, fair skin, platinum blonde hair, gold eyes, narrow nose, thick lips, receding chin, long hair, fine hair, viking braid, perky breasts, cuff earrings, coral, sheer lipstick, purple velvet slip with lace trim
palladium, necklace, diva, tall, toned, oval face, olive skin, dark brown hair, brown eyes, narrow nose, thick lips, sharp chin, shoulder-length hair, wavy hair, braided headband, asymmetrical breasts, faux gauge earrings, burgundy, satin lipstick, grey faux leather corset
palladium, necklace, lady, average height, skinny, diamond-shaped face, dark skin, black hair, blue eyes, long nose, thin lips, prominent chin, long hair, curly hair, middle part bangs, soft breasts, faux gauge earrings, magenta, stain lipstick, gold mesh bra and panty set with garter belt
palladium, necklace, songstress, short, lean, heart-shaped face, fair skin, white hair, blue eyes with green flecks, narrow nose, full lips, round chin, long hair, straight hair, triple braided crown, augmented breasts, faux gauge earrings, light pink, cream lipstick, navy blue satin garter belt with suspenders
palladium, pendant, goddess, average height, thin, round face, tan skin, light brown hair, light blue eyes, long nose, full lips, sharp chin, shoulder-length hair, coarse hair, fancy updo, full breasts, dangle earrings, pink, matte lipstick, green satin and lace garter belt with matching thong
palladium, statement necklace, escort, average height, in shape, heart-shaped face, dark skin, golden blonde hair, green eyes, short nose, full lips, receding chin, long hair, coarse hair, straight updo, augmented breasts, threader earrings, mauve, gloss lipstick, green satin robe with lace trim
palladium, statement necklace, femme fatale, short, thin, triangular face, olive skin, chestnut hair, peach eyes, straight nose, full lips, round chin, long hair, curly hair, messy top knot, saggy breasts, stud earrings, beige, metallic lipstick, brown strappy bodysuit
palladium, statement necklace, siren, average height, lean, round face, dark skin, white hair, blue eyes with green flecks, long nose, pouty lips, receding chin, shoulder-length hair, straight hair, long wavy hair, round breasts, drop earrings, rose, gloss lipstick, olive green mesh garter belt with stockings
palladium, statement necklace, woman, tall, skinny, oval face, fair skin, dark brown hair, coral eyes, short nose, pouty lips, sharp chin, shoulder-length hair, curly hair, shaggy cut, asymmetrical breasts, threader earrings, golden, velvet lipstick, red satin babydoll
palladium, tassel necklace, charmer, tall, fit, diamond-shaped face, olive skin, strawberry blonde hair, purple eyes, straight nose, pouty lips, round chin, long hair, curly hair, curly afro, large breasts, cuff earrings, red, sheer lipstick, silver sequin bralette
palladium, tennis bracelet, siren, tall, thin, triangular face, olive skin, dark brown hair, hazel eyes, wide nose, full lips, receding chin, shoulder-length hair, straight hair, low messy bun, full breasts, drop earrings, cream, sheer lipstick, white sheer teddy with lace trim
palladium, tennis necklace, sensation, tall, wide hips, square face, fair skin, light brown hair, ruby eyes, narrow nose, full lips, receding chin, shoulder-length hair, fine hair, layered bob, round breasts, cuff earrings, magenta, velvet lipstick, black leather bralette and panty set
palladium, toe ring, charmer, short, fit, oval face, olive skin, strawberry blonde hair, hazel eyes, narrow nose, thick lips, receding chin, long hair, thick hair, four-strand braid, large breasts, stud earrings, berry, velvet lipstick, lavender lace bra and panty set
palladium, toe ring, dame, average height, thin, diamond-shaped face, tan skin, gray hair, gold eyes, short nose, thin lips, receding chin, shoulder-length hair, straight hair, french roll, firm breasts, huggie earrings, peach, sheer lipstick, blue satin and lace cami and short set
palladium, toe ring, dame, short, toned, triangular face, fair skin, light brown hair, blue eyes, [[curved nose]], thin lips, receding chin, long hair, straight hair, bouncy curls, firm breasts, faux gauge earrings, terracotta, matte lipstick, purple velvet bra and panty set with lace trim
palladium, toe ring, visionary, tall, thin, diamond-shaped face, tan skin, white hair, gray eyes, long nose, thin lips, sharp chin, shoulder-length hair, fine hair, blunt bangs, full breasts, drop earrings, lavender, metallic lipstick, pink floral corset
palladium, toggle bracelet, woman, average height, wide hips, oval face, tan skin, gray hair, sapphire eyes, narrow nose, pouty lips, round chin, long hair, coarse hair, waterfall braid, saggy breasts, faux gauge earrings, brown, stain lipstick, plum satin and lace bustier
palladium, torc necklace, empress, tall, toned, diamond-shaped face, dark skin, brunette hair, teal eyes, [[curved nose]], thick lips, round chin, long hair, wavy hair, loose curls, firm breasts, dangle earrings, brown, sheer lipstick, white lace bralette and boyshorts set
palladium, torc necklace, female viking, tall, wide hips, diamond-shaped face, fair skin, dark brown hair, hazel eyes with green flecks, long nose, pouty lips, round chin, shoulder-length hair, fine hair, braided half up, firm breasts, drop earrings, rose, satin lipstick, black leather bralette and panty set
palladium, vintage brooch, belle, tall, wide hips, square face, fair skin, blonde hair, turquoise eyes, long nose, pouty lips, prominent chin, long hair, straight hair, updo, large breasts, cuff earrings, hot pink, velvet lipstick, pink lace garter slip with matching thong
platinum, animal brooch, madame, average height, athletic, triangular face, fair skin, honey blonde hair, ruby eyes, wide nose, thin lips, receding chin, long hair, curly hair, afro, large breasts, hoop earrings, coral, metallic lipstick, pink floral corset
platinum, animal brooch, mistress, average height, in shape, diamond-shaped face, olive skin, strawberry blonde hair, aquamarine eyes, narrow nose, full lips, receding chin, long hair, wavy hair, braided updo, small breasts, dangle earrings, beige, metallic lipstick, black leather bralette and panty set
platinum, ankle bracelet, dame, average height, in shape, round face, fair skin, golden blonde hair, gold eyes, long nose, thick lips, round chin, long hair, curly hair, wavy layered bob, full breasts, faux gauge earrings, fuchsia, metallic lipstick, fuchsia mesh halter bra and panty set
platinum, ankle bracelet, starlet, average height, athletic, oval face, dark skin, blonde hair, hazel eyes with green flecks, narrow nose, thin lips, prominent chin, long hair, thick hair, fishtail braid, small breasts, clip-on earrings, lavender, matte lipstick, lavender lace bra and panty set
platinum, ankle bracelet, trailblazer, short, athletic, square face, fair skin, golden blonde hair, brown eyes with green flecks, long nose, pouty lips, prominent chin, shoulder-length hair, curly hair, formal updo, round breasts, drop earrings, terracotta, matte lipstick, cream sequin bra and pant set
platinum, ankle cuff, female viking, average height, athletic, diamond-shaped face, fair skin, chestnut hair, amber eyes, wide nose, pouty lips, prominent chin, long hair, wavy hair, frohawk, small breasts, clip-on earrings, shimmer, matte lipstick, ivory lace teddy
platinum, ankle cuff, gal, tall, toned, square face, dark skin, gray hair, gold eyes, [[curved nose]], thick lips, round chin, long hair, curly hair, wavy updo, firm breasts, huggie earrings, gloss, satin lipstick, maroon satin and lace corset
platinum, ankle cuff, maven, average height, athletic, diamond-shaped face, dark skin, black hair, green eyes, short nose, thin lips, prominent chin, long hair, wavy hair, dutch braid, augmented breasts, threader earrings, teal, stain lipstick, yellow lace garter belt
platinum, ankle strap, phenom, tall, in shape, triangular face, olive skin, chestnut hair, light blue eyes, long nose, thin lips, prominent chin, shoulder-length hair, wavy hair, updo, asymmetrical breasts, drop earrings, cherry, satin lipstick, turquoise sheer chemise with cutouts
platinum, ankle strap, seductress, average height, in shape, oval face, fair skin, brunette hair, amethyst eyes, [[curved nose]], pouty lips, sharp chin, shoulder-length hair, straight hair, wavy updo, soft breasts, huggie earrings, red, gloss lipstick, crimson velvet cami and short set
platinum, ankle strap, trailblazer, short, in shape, square face, dark skin, white hair, blue eyes, long nose, thick lips, sharp chin, shoulder-length hair, wavy hair, low messy bun, augmented breasts, faux gauge earrings, grape, cream lipstick, white satin and lace bra and panty set
platinum, anklet, chanteuse, tall, wide hips, diamond-shaped face, fair skin, black hair, jade eyes, long nose, pouty lips, sharp chin, shoulder-length hair, thick hair, braided updo, saggy breasts, hoop earrings, light pink, stain lipstick, green satin robe with lace trim
platinum, anklet, luminary, tall, skinny, square face, olive skin, brunette hair, blue eyes, short nose, full lips, round chin, shoulder-length hair, fine hair, afro, soft breasts, cuff earrings, light pink, stain lipstick, red mesh chemise with strappy back detail
platinum, anklet, trailblazer, average height, firm, triangular face, dark skin, gray hair, sapphire eyes, narrow nose, full lips, receding chin, shoulder-length hair, coarse hair, twisted bun, small breasts, drop earrings, burgundy, cream lipstick, maroon satin and lace corset
platinum, bangle bracelet, dame, tall, lean, square face, olive skin, platinum blonde hair, gold eyes, narrow nose, thin lips, prominent chin, long hair, straight hair, lace braid, round breasts, faux gauge earrings, berry, cream lipstick, blue satin and lace cami and short set
platinum, bangle bracelet, woman, tall, firm, square face, olive skin, black hair, amethyst eyes, narrow nose, thick lips, round chin, shoulder-length hair, fine hair, long wavy hair, firm breasts, huggie earrings, orange, stain lipstick, white sheer teddy with lace trim
platinum, beaded necklace, enigma, average height, toned, diamond-shaped face, dark skin, blonde hair, red eyes, wide nose, thick lips, sharp chin, shoulder-length hair, wavy hair, braided crown, augmented breasts, threader earrings, burgundy, matte lipstick, green silk bralette and panty set
platinum, beaded necklace, madame, tall, skinny, heart-shaped face, olive skin, strawberry blonde hair, coral eyes, long nose, pouty lips, sharp chin, long hair, straight hair, fishbone braid, round breasts, drop earrings, beige, matte lipstick, red satin kimono with lace sleeve detail
